,age,workclass,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
7953,25,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K
7955,21,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,15,United-States,<=50K
7957,46,Private,9th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
7958,37,Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,<=50K
7959,41,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,>50K
7960,30,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
7961,54,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
7962,35,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States,<=50K
7964,21,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,25,Ecuador,<=50K
7965,35,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
7966,35,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,United-States,>50K
7967,19,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K
7968,48,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
7970,65,Self-emp-not-inc,Some-college,Widowed,Craft-repair,Not-in-family,White,Female,0,0,35,United-States,<=50K
7971,40,Private,Bachelors,Separated,Adm-clerical,Unmarried,Black,Male,0,0,35,United-States,<=50K
7972,26,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
7973,45,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
7974,26,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
7975,32,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
7976,22,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,48,United-States,<=50K
7977,37,Private,Assoc-voc,Separated,Prof-specialty,Own-child,White,Female,0,0,38,United-States,<=50K
7978,25,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<=50K
7980,46,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,>50K
7981,30,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,27,United-States,<=50K
7982,63,Private,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,>50K
7983,51,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
7984,68,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,16,United-States,<=50K
7985,36,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,Canada,<=50K
7986,28,Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
7987,41,Local-gov,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
7988,47,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
7989,22,Private,Some-college,Never-married,Other-service,Unmarried,Black,Female,0,0,30,United-States,<=50K
7991,46,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
7992,28,Private,Some-college,Married-spouse-absent,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
7993,36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,United-States,>50K
7994,18,Private,Some-college,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
7995,56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,<=50K
7996,54,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
7997,29,Private,HS-grad,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K
7998,40,Private,Some-college,Divorced,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,0,0,84,United-States,<=50K
7999,22,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
8000,33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
8001,28,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
8002,63,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,12,United-States,<=50K
8003,37,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
8004,50,Federal-gov,Some-college,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50K
8005,22,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
8006,40,Federal-gov,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
8007,21,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
8008,25,Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,Jamaica,<=50K
8009,20,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
8010,43,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
8011,29,Private,Assoc-voc,Never-married,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,<=50K
8012,32,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
8013,42,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
8014,33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,South,<=50K
8015,27,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
8017,29,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
8018,29,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
8019,20,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States,<=50K
8020,35,Private,10th,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
8021,33,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
8022,46,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,10,United-States,<=50K
8023,45,Private,9th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,>50K
8024,17,Local-gov,11th,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
8025,48,Self-emp-not-inc,Bachelors,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,0,0,40,Jamaica,>50K
8026,49,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,<=50K
8027,20,Private,Some-college,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K
8028,64,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,United-States,<=50K
8029,53,Federal-gov,Some-college,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
8030,52,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
8031,29,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,<=50K
8032,48,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States,>50K
8033,30,Private,Some-college,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,Mexico,<=50K
8034,34,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,<=50K
8036,39,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
8037,28,Private,11th,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,<=50K
8039,54,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
8040,25,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
8041,25,Private,11th,Divorced,Other-service,Unmarried,White,Female,0,0,12,United-States,<=50K
8042,24,Private,Bachelors,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
8043,31,Private,Some-college,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,50,Taiwan,<=50K
8044,47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
8046,19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,<=50K
8047,52,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
8049,60,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,28,United-States,<=50K
8050,43,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
8051,24,Private,Assoc-acdm,Divorced,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
8053,51,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
8054,38,Self-emp-not-inc,9th,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
8055,21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,<=50K
8056,40,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,>50K
8057,54,Private,Some-college,Widowed,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
8058,35,Private,Bachelors,Never-married,Other-service,Other-relative,White,Male,0,0,50,United-States,<=50K
8059,52,Private,11th,Separated,Machine-op-inspct,Unmarried,Black,Male,0,0,40,United-States,<=50K
8061,35,Private,HS-grad,Divorced,Craft-repair,Unmarried,Black,Male,0,0,40,United-States,<=50K
8062,29,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Canada,<=50K
8063,29,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,65,United-States,<=50K
8064,27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
8065,58,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Mexico,<=50K
8066,64,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,18,United-States,<=50K
8067,53,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,32,United-States,<=50K
8068,21,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
8069,40,Self-emp-not-inc,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,<=50K
8070,52,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K
8071,38,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Male,0,0,50,United-States,<=50K
8073,39,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
8075,68,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
8076,24,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K
8077,40,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
8078,43,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,99,United-States,>50K
8079,38,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,70,United-States,<=50K
8080,45,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
8081,18,Private,11th,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,55,United-States,<=50K
8082,57,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
8083,49,Private,HS-grad,Separated,Other-service,Not-in-family,Black,Female,0,0,35,United-States,<=50K
8084,25,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,Yugoslavia,<=50K
8085,52,Federal-gov,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
8086,56,Private,10th,Divorced,Craft-repair,Not-in-family,White,Male,0,0,56,United-States,<=50K
8087,26,Self-emp-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,48,United-States,<=50K
8088,19,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
8089,25,Self-emp-inc,Bachelors,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
8090,25,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K
8091,21,Private,HS-grad,Never-married,Sales,Other-relative,White,Male,0,0,45,United-States,<=50K
8092,48,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Italy,<=50K
8093,33,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Canada,<=50K
8094,31,State-gov,HS-grad,Divorced,Protective-serv,Own-child,Other,Male,0,0,40,United-States,<=50K
8095,26,Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,Unmarried,White,Male,0,0,65,United-States,<=50K
8096,37,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States,<=50K
8098,20,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
8100,49,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,<=50K
8102,51,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
8103,40,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
8104,24,Private,Assoc-voc,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
8105,18,Private,12th,Never-married,Sales,Own-child,White,Male,0,0,24,United-States,<=50K
8106,41,Private,10th,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,>50K
8107,46,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
8108,64,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
8109,50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
8110,53,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,36,United-States,>50K
8111,21,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
8112,22,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,<=50K
8113,39,Federal-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
8114,30,Private,Bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,India,<=50K
8115,26,Private,Some-college,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K
8116,43,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
8117,59,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,0,0,60,United-States,<=50K
8118,27,Private,HS-grad,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,Jamaica,<=50K
8119,55,Private,10th,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
8120,20,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,12,Canada,<=50K
8121,25,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,36,Canada,<=50K
8122,28,Private,Assoc-acdm,Separated,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
8123,29,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
8124,60,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
8125,25,Private,11th,Divorced,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
8126,27,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
8127,50,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
8128,46,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,47,United-States,<=50K
8129,35,Private,Assoc-voc,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
8131,40,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
8132,49,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
8133,29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
8134,39,Private,Assoc-acdm,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,60,United-States,<=50K
8135,35,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,60,United-States,<=50K
8136,52,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
8137,25,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,Outlying-US(Guam-USVI-etc),<=50K
8138,20,Self-emp-inc,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,30,United-States,<=50K
8140,24,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
8141,29,Private,Bachelors,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,30,India,<=50K
8142,21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
8143,37,Federal-gov,Bachelors,Divorced,Exec-managerial,Other-relative,White,Female,0,0,50,United-States,<=50K
8144,43,Federal-gov,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
8145,19,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,26,United-States,<=50K
8146,47,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
8147,61,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,>50K
8149,35,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,<=50K
8150,60,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
8151,27,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
8152,57,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,35,India,<=50K
8153,56,Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
8154,27,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
8155,47,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,35,United-States,<=50K
8156,19,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K
8157,28,Self-emp-not-inc,12th,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States,<=50K
8158,43,Private,10th,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
8159,63,Local-gov,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,<=50K
8161,25,Private,HS-grad,Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
8162,20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,<=50K
8163,48,Private,10th,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,<=50K
8164,30,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,Germany,<=50K
8165,31,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
8166,20,Private,HS-grad,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,24,Philippines,<=50K
8167,57,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
8168,33,Private,HS-grad,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
8169,27,Private,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
8170,34,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K
8171,22,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K
8172,50,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,>50K
8173,40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
8174,37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,51,United-States,<=50K
8176,25,State-gov,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
8177,51,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
8179,18,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K
8180,33,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
8181,33,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
8182,67,State-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
8183,24,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
8184,32,Local-gov,7th-8th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
8185,29,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K
8186,25,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
8187,33,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
8188,55,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
8189,31,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
8190,32,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
8191,36,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,<=50K
8192,58,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,27,United-States,<=50K
8193,19,Private,11th,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
8194,21,Private,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
8195,36,Self-emp-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,<=50K
8196,43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,21,Trinadad&Tobago,<=50K
8197,52,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
8199,43,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,0,0,38,United-States,<=50K
8200,22,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
8201,37,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
8202,39,Private,Some-college,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,38,United-States,<=50K
8203,54,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
8204,27,Private,Assoc-acdm,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
8205,21,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
8206,65,Private,Some-college,Separated,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
8207,30,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
8208,22,Private,9th,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
8209,25,Private,11th,Separated,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
8211,23,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Male,0,0,60,United-States,<=50K
8212,42,Private,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,>50K
8213,39,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,30,United-States,<=50K
8214,55,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
8215,24,State-gov,Masters,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,10,China,<=50K
8216,53,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
8217,44,Private,11th,Separated,Other-service,Unmarried,Black,Female,0,0,60,United-States,<=50K
8218,40,Private,HS-grad,Separated,Transport-moving,Unmarried,Black,Female,0,0,40,United-States,<=50K
8219,26,Private,Assoc-voc,Separated,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
8220,22,Private,HS-grad,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
8223,43,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
8224,37,Local-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K
8225,30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Laos,<=50K
8226,41,Private,HS-grad,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,50,United-States,<=50K
8227,38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
8229,42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
8230,20,Private,HS-grad,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,<=50K
8231,32,Federal-gov,Assoc-voc,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
8232,27,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
8233,25,State-gov,Some-college,Divorced,Protective-serv,Other-relative,White,Male,0,0,45,United-States,<=50K
8234,40,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
